Application ID,Submission ID,Applicant Role,"Association, Cooperative, or Owner",Address Number,Street Direction,Street Name,Street Type,Number of Units,PIN,Vote Date,Recorded Date,Signed Date,Latitude,Longitude,Location
24,PB2016A00024,Authorized Agent,State Place Condominium Assoc,"1101, 1111, 1133-1155",S,State,ST,242,17-15-308-039-1001-1481,,12/09/2004,07/25/2016,,,
3197,PB2021A03197,Owner,,4759,N,Maplewood,AVE,30,13-13-205-001-0000,,11/03/2021,11/03/2021,41.968437138,-87.692420559,"(41.96843713795416, -87.69242055899308)"
690,PB2016A00690,Registered Agent,Dakin I LLC,225-927,W,Dakin,ST,33,14-20-206-006-0000,10/05/2016,,10/06/2016,,,
105,PB2016A00105,Authorized Agent,4629-35 n Main St Condominium Assoc,4629-4635,N,Main,,12,10-22-301-061-1001-1002      10-22-301-061-1004-1005      10-22-301-061-1007-1008      10-22-301-061-1011,,,07/29/2016,,,
851,PB2017A00851,Owner,Northtown Village Phase II,715,W,Evergreen 3rd,AVE,,17-04-113-100-1083,,,08/29/2016,,,
848,PB2017A00848,Owner,Northtown Village Phase II,754,W,Evergreen 2nd,AVE,,17-04-113-100-1012,,,08/29/2016,,,
860,PB2017A00860,Owner,Northtown Village Phase II,1333,N,Halsted 2N,ST,,17-04-113-100-1146,,,08/29/2016,,,
831,PB2017A00831,Owner,Northtown Village Phase II,1341,N,Halsted 2N,ST,,17-04-113-100-1148,,,08/29/2016,,,
859,PB2017A00859,Owner,Northtown Village Phase II,1327,N,Halsted 4N,ST,,1704-113-100-1144,,,08/29/2016,,,
858,PB2017A00858,Owner,Northtown Village Phase II,757,W,Evergreen 2nd,AVE,,17-04-113-100-1110,,,08/29/2016,,,
854,PB2017A00854,Owner,Northtown Village Phase II,728,W,Scott 1E,ST,,17-04-113-100-1100,,,08/29/2016,,,
830,PB2017A00830,Owner,Northtown Village Phase II,1421,N,Halsted 3S,ST,,17-04-113-100-1024,,,08/29/2016,,,
856,PB2017A00856,Owner,Northtown Village Phase II,1327,N,Halsted 2S,ST,,17-04-113-100-1141,,,08/29/2016,,,
849,PB2017A00849,Owner,Northtown Village Phase II,1421,N,Halsted 1N,ST,,17-04-113-100-1019,,,08/29/2016,,,
855,PB2017A00855,Owner,Northtown Village Phase II,720,W,Scott 1E,ST,,17-04-113-100-1094,,,08/29/2016,,,
850,PB2017A00850,Owner,Northtown Village Phase II,1421,N,Halsted 2N,ST,,17-04-113-100-1021,,,08/29/2016,,,
829,PB2017A00829,Owner,Northtown Village Phase II,1315,N,Burling 2nd,ST,,17-04-113-100-1036,,,08/29/2016,,,
2469,PB2019A02469,authorized agent,Montrose and Clarendon LLC DBA Eight Eight Eleven Uptown,811,W,Agatite,AVE,381,14-17-229-008-0000,,02/21/2019,02/21/2019,41.962630019,-87.650430429,"(41.962630018961406, -87.65043042896384)"
2017,PB2017A02017,registered agent,Southport Place Condo Assoc,1338-1346,W,Irving Park,RD,43,14-17-315-014-1000,10/18/0017,10/18/2017,10/18/2017,41.95446958,-87.663842824,"(41.95446957999608, -87.66384282403489)"
2060,PB2017A02060,"Lakeview Associates, Inc. (property manager)",,3546-3548,N,Bosworth,AVE,12,14-20-300-010-0000,,11/21/2017,11/21/2017,41.946575915,-87.667785365,"(41.94657591502344, -87.66778536499866)"
344,PB2016A00344,Property Manager,1322 West Huron Condominium Assoc,1322,W,Huron,ST,8,17-08-104-037-1001-1008,,,08/03/2016,41.89446851,-87.660446244,"(41.894468509987995, -87.66044624401881)"
1701,PB2017A01701,Property Manager,,2003-2005,W,Arthur,AVE,17,1131319041-1001,,08/11/2017,08/11/2017,41.999595117,-87.680337237,"(41.99959511703627, -87.68033723698991)"
1655,PB2017A01655,PROPERTY MANAGER,SILVER COAST CITADEL CONDOMINIUM ASSOICIATION,2403-2409,E,72ND,ST,98,21301040421098,,08/11/2017,08/11/2017,41.764326392,-87.566344376,"(41.764326392046335, -87.56634437596973)"
748,PB2016A00748,Owner,Mushroom Cliffs Bowl LLC 1846 W Division,1846,W,Division,ST,11,17-06-227-073-0000 & 17-06-227-074-0000,,,10/11/2016,41.903347722,-87.674274115,"(41.903347721966696, -87.6742741150143)"
895,PB2017A00895,Authorized Agent,Hedgerow CA,5400,S,Hyde Park,BLVD,56,20-12-113-052-1001-1056,,,08/08/2016,41.797997236,-87.584164109,"(41.79799723602623, -87.58416410904996)"
