listing_id,mean,host_is_superhost,host_id,host_since,host_response_time,host_listings_count,host_identity_verified,neighbourhood_cleansed,room_type,price,number_of_reviews,review_scores_rating,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,reviews_per_month,calculated_host_listings_count
1.0137565591021519e+18,0.6817045454545454,FALSE,509913083,2023-04-13,within an hour,3,TRUE,Near North Side,Entire home/apt,$60.00,44,4.7,4.8,4.7,4.7,4.91,4.73,28.7,2
10392060,0.8494594594594594,TRUE,2899484,2012-07-11,within a day,2,TRUE,West Town,Entire home/apt,$138.00,119,4.91,4.78,4.95,4.91,4.97,4.86,1.25,2
10452642,0.8394074074074074,TRUE,25871759,2015-01-10,within an hour,1,TRUE,Near South Side,Entire home/apt,$386.00,140,4.86,4.73,4.81,4.92,4.87,4.84,1.46,1
10773502,0.8067931034482758,TRUE,55728526,2016-01-22,within an hour,3,TRUE,South Shore,Entire home/apt,$118.00,58,4.88,4.72,4.93,4.95,4.34,4.84,4.34,3
10863022,0.735561403508772,TRUE,56274815,2016-01-26,within a few hours,1,TRUE,Near West Side,Private room,$133.00,114,4.81,4.95,4.94,4.91,4.89,4.8,1.63,1
1096191,0.669804347826087,TRUE,6023157,2013-04-21,within an hour,1,TRUE,Uptown,Entire home/apt,$60.00,83,4.67,4.67,4.95,4.96,4.75,4.76,0.64,1
10971749,0.8280666666666667,FALSE,56925978,2016-02-01,within an hour,1,TRUE,Ashburn,Entire home/apt,$150.00,68,4.81,4.72,4.88,4.96,4.62,4.75,0.98,1
11146814,0.7602758620689655,FALSE,22215535,2014-10-06,within an hour,3,TRUE,Lower West Side,Entire home/apt,$300.00,209,4.42,4.34,4.56,4.69,4.71,4.57,2.19,3
11205769,0.7514878048780488,TRUE,1410585,2011-11-15,within an hour,3,TRUE,Lake View,Entire home/apt,$307.00,72,4.72,4.44,4.86,4.82,4.94,4.61,0.77,1
11370335,0.6843333333333333,FALSE,41503184,2015-08-14,within an hour,1,TRUE,Austin,Private room,$50.00,62,4.73,4.71,4.74,4.79,4.77,4.73,0.67,1
11436765,0.8156190476190476,FALSE,47567772,2015-10-27,within a day,7,TRUE,Rogers Park,Private room,$287.00,91,4.78,4.82,4.86,4.85,4.94,4.69,1.09,7
11902507,0.8559846153846153,TRUE,63490400,2016-03-18,within an hour,1,TRUE,Portage Park,Entire home/apt,$122.00,149,4.85,4.87,4.98,4.99,4.9,4.88,1.67,1
1195259,0.67975,TRUE,2899484,2012-07-11,within a day,2,TRUE,West Town,Entire home/apt,$138.00,212,4.9,4.78,4.91,4.91,4.95,4.85,1.65,2
